标准商品ID,标准商品,成本价,最低限价,平台,货源商品,货源商,对接码,库存,公开价,商品链接
chatgpt-plus,ChatGPT Plus 试用订阅,145,160,链动小铺,gpt-5.6/gpt-5.5/codex订阅周卡-每日重置200刀,大模型API服务商,jarodfund,7,160,https://pay.ldxp.cn/item/zevjt2
chatgpt-plus,ChatGPT Plus 试用订阅,148,,链动小铺,【质保一个月】GPTPLUS月卡 官方直冲 别用冲过低价会员的账号 不能反代,PYAPI,607x6kco,3,148,https://pay.ldxp.cn/item/wwgiew
chatgpt-plus,ChatGPT Plus 试用订阅,148,,链动小铺,🤖 GPT-Plus授权神器--未授权及未接码的GPT-Plus账号--自动化授权+接码+CPA-Json文件生成,唐伯猫小铺,ntq68jfm,20,158,https://pay.ldxp.cn/item/joqpbo
chatgpt-plus,ChatGPT Plus 试用订阅,149,150,链动小铺,【人工充值】ChatGPT Plus月卡 卡付（雪诺自营 质保订阅）,Tora-雪诺AI源头分销小铺,layerneko,83,149.9,https://pay.ldxp.cn/item/pa0lvw
chatgpt-plus,ChatGPT Plus 试用订阅,150,150,链动小铺,ChatGPT PLUS月卡稳定渠道质保30天！独享成品号 有时效性，联系客服发货,AI海外账号,daoweiba,5,148,https://pay.ldxp.cn/item/qokwhj
chatgpt-plus,ChatGPT Plus 试用订阅,150,150,云猫寄售,ChatGPT PLUS月卡稳定渠道质保30天！独享成品号 有时效性，联系客服发货,AI海外账号,daoweiba,96,148,https://catfk.com/item/invx77
chatgpt-plus-recharge,ChatGPT Plus 正价代充,155,130,云猫寄售,GPT PLUS 菲区充值（官网渠道，正规代充）质保不掉订阅,gpt/gemini代充/成品（招代理）,736661915,945,158,https://catfk.com/item/qgycau
chatgpt-go,ChatGPT Go,160,,链动小铺,正规官方充值gpt/go订阅,AI小铺,lmz888,2,55,https://pay.ldxp.cn/item/p9tifp
chatgpt-plus,ChatGPT Plus 试用订阅,160,,链动小铺,正规官方充值gptplus,AI小铺,lmz888,8,168,https://pay.ldxp.cn/item/u3ofp2
chatgpt-plus,ChatGPT Plus 试用订阅,160,,链动小铺,gpt plus海外卡直冲（100%不掉订阅版）,AI代理商货源（8元gptplus成品号可用codex）,5y4035gb,24,160,https://pay.ldxp.cn/item/4one20
chatgpt-plus,ChatGPT Plus 试用订阅,160,150,云猫寄售,GPT PLUS 美/加区充值（官网渠道，正规代充）质保不掉订阅,gpt/gemini代充/成品（招代理）,736661915,948,168,https://catfk.com/item/5yy62g
chatgpt-team-business,ChatGPT Team / Business,199,200,链动小铺,gpt team母号 48个月 无质保 2席位版本,superman的小店,superman,1,200,https://pay.ldxp.cn/item/es2554
chatgpt-pro-20x,ChatGPT Pro 20x,200,220,链动小铺,【91ddd可兑换】2-3天长效期中转特供【CDK】【ChatGPT Pro 20x 】随时可退，售后先加好友,GPT小站,lulucoding,40,210,https://pay.ldxp.cn/item/6gkrw6
chatgpt-pro-20x,ChatGPT Pro 20x,210,240,链动小铺,【老字号duolg可兑换】2-3天长效期中转特供【CDK】【ChatGPT Pro 20x 】随时可退，售后先加好友,GPT小站,lulucoding,1,230,https://pay.ldxp.cn/item/5ncjbc
chatgpt-team-business,ChatGPT Team / Business,220,220,链动小铺,全新渠道真充TEAM母号带2席位渠道可用pro+plus+codex,AI小屋,jtde4zxj,6,220,https://pay.ldxp.cn/item/tlhvmc
chatgpt-plus,ChatGPT Plus 试用订阅,225,250,链动小铺,gpt-5.6/gpt-5.5/codex订阅周卡-每日重置300刀,大模型API服务商,jarodfund,31,265,https://pay.ldxp.cn/item/q94z7a
chatgpt-pro-20x,ChatGPT Pro 20x,228,228,云猫寄售,GPT Pro20x 当天噶，无质保人工手搓发货速刷！,AI海外账号,daoweiba,55,218,https://catfk.com/item/xaut6t
chatgpt-pro-20x,ChatGPT Pro 20x,234,234,链动小铺,GPT Pro20x 3天CDK充值卡｜量大最低208！｜无质保人工手搓发货速刷，只能新号！,AI海外账号,daoweiba,75,228,https://pay.ldxp.cn/item/syz02g
chatgpt-pro-20x,ChatGPT Pro 20x,235,235,云猫寄售,GPT Pro20x 3天CDK充值卡｜量大最低208！｜无质保人工手搓发货速刷，只能新号！,AI海外账号,daoweiba,126,228,https://catfk.com/item/z5w9cw
chatgpt-pro-20x,ChatGPT Pro 20x,239,239,链动小铺,ChatGPT Pro 20X 成品号｜【有效期30小时左右】【质保首登】【速刷】,AI开发商,gpt666,88,239,https://pay.ldxp.cn/item/rdmvoy
chatgpt-pro-20x,ChatGPT Pro 20x,240,240,链动小铺,gpt pro20x cdk兑换卡密 冲自己账号 不会用的勿拍 拍了不退,Hug AI,r6vbudga,4,240,https://pay.ldxp.cn/item/mqbtwk
chatgpt-plus,ChatGPT Plus 试用订阅,268,,链动小铺,GPT注册🐓 卡密 30天 (1CPU/1GB内存),AI 小铺（全网最低价）,@buygptpuls,49,268,https://pay.ldxp.cn/item/ppaei1
chatgpt-pro-20x,ChatGPT Pro 20x,270,275,链动小铺,gpt pro20x 成品号，只质保首登，适合量大的（联系客服拿号，不会直接出号）,AI-小站,xkul0mfd,2,290,https://pay.ldxp.cn/item/1apxdv
chatgpt-pro-20x,ChatGPT Pro 20x,280,,链动小铺,【成品】GPT Pro 20x 【无质保】,AI gogo渠道 （招代理）,gogo,8,280,https://pay.ldxp.cn/item/v2urzf
chatgpt-pro-20x,ChatGPT Pro 20x,280,,链动小铺,【速刷】谷歌gpt Pro20x mail邮箱成品号,奥特曼丨ChatGPT,18,100,300,https://pay.ldxp.cn/item/qgmahy
chatgpt-pro-20x,ChatGPT Pro 20x,280,,链动小铺,【速刷】谷歌gpt Pro20x mail邮箱成品号,"熊猫丨货源 GPT,gimini,专业速冲，招代理",19,87,300,https://pay.ldxp.cn/item/xycjez
chatgpt-pro-20x,ChatGPT Pro 20x,280,,云猫寄售,gpt 20xpro日抛速刷号 无质保 cdk保激活,贝雕AI,BeiDiao,10,300,https://catfk.com/item/goods_a506040aee5c1e70af522195
chatgpt-pro-20x,ChatGPT Pro 20x,288,288,链动小铺,GPT Pro 20X 代充值（不质保）,爱AI(源头),domyj3ii,10,288,https://pay.ldxp.cn/item/l8vec9
chatgpt-pro-20x,ChatGPT Pro 20x,295,,链动小铺,【速刷】谷歌gpt Pro20x mail邮箱成品号 自动发货 1件起购,乌萨奇AI小店（源头直供一手货源）,zjx612w6,22,325,https://pay.ldxp.cn/item/edztx4
chatgpt-pro-20x,ChatGPT Pro 20x,300,,链动小铺,【速刷】GPT Pro20x mail邮箱成品号,咕咕嘎嘎|AI源头直营,4321,59,300,https://pay.ldxp.cn/item/oqw9ep
chatgpt-pro-20x,ChatGPT Pro 20x,300,,链动小铺,【速刷】GPT Pro20x mail邮箱成品号,AI奥特曼【源头招代理】,aoteman001,77,300,https://pay.ldxp.cn/item/qa4cek
chatgpt-pro-20x,ChatGPT Pro 20x,300,300,链动小铺,GPT Pro 20X 成品号（不质保）,爱AI(源头),domyj3ii,9,300,https://pay.ldxp.cn/item/x2scwu
chatgpt-pro-20x,ChatGPT Pro 20x,300,,云猫寄售,【速刷】GPT Pro20x mail邮箱成品号,AI奥特曼【源头招代理】,99999,11,300,https://catfk.com/item/3d5eeo
chatgpt-team-business,ChatGPT Team / Business,386,,链动小铺,正规官方gpt business（team）2席位母号带质保 可开通自己账号不续费纯开通版本,海神- GPT-大玩家（招代理）,aov0x17n,19,388,https://pay.ldxp.cn/item/6yb3sq
chatgpt-pro-20x,ChatGPT Pro 20x,395,,链动小铺,ChatGPT Pro20x月卡 拼车3人车 质保不掉订阅 可开发票 官网卡充,青蛙AI·低价源头,qingwaAA,13,399,https://pay.ldxp.cn/item/39fjs1
chatgpt-pro-20x,ChatGPT Pro 20x,399,399,链动小铺,pro20x谷歌渠道,ai直通车,nzy666,57,399,https://pay.ldxp.cn/item/que5ef
chatgpt-pro-20x,ChatGPT Pro 20x,400,,链动小铺,ChatGPT Pro 20X【无质保】原价200刀 人工代充,"熊猫丨货源 GPT,gimini,专业速冲，招代理",19,98,460,https://pay.ldxp.cn/item/9usjn5
chatgpt-pro-20x,ChatGPT Pro 20x,540,540,链动小铺,GPT Pro 20x 充值 CDK（无质保渠道）,Ludan AI商店【GPT源头直供/招代理】,ludan,8,540,https://pay.ldxp.cn/item/u6i13m
chatgpt-plus,ChatGPT Plus 试用订阅,550,600,链动小铺,【强推】【带账单可报销】【30天满订阅】【成品号】【chat-gpt-20x】双保2天！,GPT小站,lulucoding,4,580,https://pay.ldxp.cn/item/6v6ob9
chatgpt-pro-20x,ChatGPT Pro 20x,590,,链动小铺,ChatGPT Pro20x月卡 拼车[2人车] 质保不掉订阅 可开发票,青蛙AI·低价源头,qingwaAA,19,598,https://pay.ldxp.cn/item/oyaecp
chatgpt-plus-recharge,ChatGPT Plus 正价代充,590,,链动小铺,GPT PLUS ios秒充官方渠道-质保订阅-可覆盖【源头】,AI会员服务中心,AI999,1,750,https://pay.ldxp.cn/item/f0erdb
chatgpt-pro-5x,ChatGPT Pro 5x,598,,链动小铺,【质保30天】GPT pro5x 订阅 官方充值 免排队 秒充(5-10分钟到账),GPT，claude源头,889966,33,680,https://pay.ldxp.cn/item/rb4oqd
chatgpt-pro-5x,ChatGPT Pro 5x,605,,链动小铺,IOS【质保30天】GPT pro5x 订阅 官方充值 免排队 秒充(5-10分钟到账),GPT源头直出,335533,9,680,https://pay.ldxp.cn/item/f3i5r2
chatgpt-pro-5x,ChatGPT Pro 5x,606,640,链动小铺,GPT Pro 5x 官充 CDK【IOS 秒冲】，质保订阅,Pro5X源头 筱博的小店,fosdnszs,88,655,https://pay.ldxp.cn/item/6hdxrj
chatgpt-pro-5x,ChatGPT Pro 5x,608,,链动小铺,【美区IOS】GPT Pro 5X 官方充值 质保30天,咕咕嘎嘎|AI源头直营,4321,46,608,https://pay.ldxp.cn/item/kihweh
chatgpt-pro-5x,ChatGPT Pro 5x,608,,链动小铺,GPT PRO 5x正规代充【ios渠道】 100刀,AI奥特曼【源头招代理】,aoteman001,58,750,https://pay.ldxp.cn/item/i6pp53
chatgpt-plus-recharge,ChatGPT Plus 正价代充,609,,链动小铺,GPT 5X美区iOS充值【质保订阅】支持续费（可覆盖～安卓可用！）,与世隔绝的AI小店,luoerl2,35,659,https://pay.ldxp.cn/item/9mwbhv
chatgpt-pro-5x,ChatGPT Pro 5x,609,,链动小铺,GPT Pro 5x 正规代充秒到账 【IOS渠道质保订阅】,咖啡猫：Gpt Claude 源头工厂 AI订阅 IOS专卖 【招代理】质保订阅30天,98,50,630,https://pay.ldxp.cn/item/ii17p9
chatgpt-pro-5x,ChatGPT Pro 5x,609,,链动小铺,GPT PRO 5x【ios渠道~官渠代充】【质保订阅~可覆盖】,与世隔绝的AI小店,luoerl2,57,659,https://pay.ldxp.cn/item/72cw42
chatgpt-pro-5x,ChatGPT Pro 5x,609,,链动小铺,IOS【质保订阅】GPT Pro 5x 订阅 官方充值 免排队 秒充(5-10分钟到账)（可屯卡）,阿星：【一手渠道-招代理】订阅充值 GPT （Plus ）（pro 5x ）（pro 20x ）,128,44,630,https://pay.ldxp.cn/item/nyzogy
chatgpt-pro-5x,ChatGPT Pro 5x,610,630,链动小铺,【IOS美区】GPT Pro 5X 官方充值 质保30天 (卡密可囤),零号GPT CLAUDE 源头渠道 【招代理 一件代发】,58,27,630,https://pay.ldxp.cn/item/q6tclf
chatgpt-pro-5x,ChatGPT Pro 5x,610,670,链动小铺,GPT 5X PRO 美区ios【质保、安卓可充】（可覆盖可续费）,云边小铺（招代理）,one,69,680,https://pay.ldxp.cn/item/nonl65
chatgpt-pro-5x,ChatGPT Pro 5x,610,,链动小铺,GPT pro 5x 官方直充秒到账 【IOS质保订阅30天】,【元帅AI】GPT Cloude官方直冲【源头渠道–招代理】,8896,5,630,https://pay.ldxp.cn/item/40cqgc
chatgpt-pro-5x,ChatGPT Pro 5x,610,,云猫寄售,ChatGPT Pro 5X iOS内购带账单 秒冲,AI批发部【源头直供 招代理 全程质保】,GPT888,47,610,https://catfk.com/item/goods_51411b1612c99441001c8d58
chatgpt-pro-5x,ChatGPT Pro 5x,610,,云猫寄售,GPT PRO 5x正规代充【ios渠道】 100刀,AI奥特曼【源头招代理】,99999,19,610,https://catfk.com/item/lu9vsh
chatgpt-pro-5x,ChatGPT Pro 5x,615,640,链动小铺,IOS美区渠道 GPT PRO 5x订阅充值 【质保】,王哈哈Ai-Plus Pro源头直供【招代理】,ai985,5,615,https://pay.ldxp.cn/item/llgudv
chatgpt-pro-5x,ChatGPT Pro 5x,620,630,链动小铺,【官方直充质保30天】GPT PRO 5X 官方充值 【正规ios品质有保障】,【引力AI供应链】GPT官方直充源头渠道 【招代理 一件代发】,77,37,727,https://pay.ldxp.cn/item/su3ezp
chatgpt-pro-5x,ChatGPT Pro 5x,620,620,链动小铺,GPT pro 5x 充值（质保订阅）,ParHom,zzx,1,680,https://pay.ldxp.cn/item/bfls3a
chatgpt-pro-5x,ChatGPT Pro 5x,620,,云猫寄售,【质保30天订阅】GPT Pro 5x 月卡【官方代充】【支持续费】【安卓ios通用】,aihome,aihome,1,650,https://catfk.com/item/eypg9v
chatgpt-pro-5x,ChatGPT Pro 5x,622,630,链动小铺,ChatGPT Pro 5X 正规充值 秒冲,Fkai,subaicc,8,630,https://pay.ldxp.cn/item/ethio6
chatgpt-pro-5x,ChatGPT Pro 5x,625,,链动小铺,【质保30天】GPT Pro 5x 订阅/成品 官方充值 免排队 秒充(5-10分钟到账),桂花卡充（源头 招代理）,GuiHua,13,649.99,https://pay.ldxp.cn/item/kit4fs
chatgpt-pro-5x,ChatGPT Pro 5x,625,,云猫寄售,【质保30天】GPT Pro 5x 订阅/成品 官方充值 免排队 秒充(5-10分钟到账),桂花卡充（源头 招代理）,GuiHua,10,649.99,https://catfk.com/item/nl6nc9
chatgpt-pro-5x,ChatGPT Pro 5x,630,,链动小铺,ChatGPT 5x pro 代充 质保三十天,蜗的AI(招代理),woniu,19,760,https://pay.ldxp.cn/item/yycs41
chatgpt-pro-5x,ChatGPT Pro 5x,630,,链动小铺,GPT Pro 5x 一个月 美区订阅,AI广场 源头店铺 欢迎代理对接,aiguangchang,39,630,https://pay.ldxp.cn/item/k8de9h
chatgpt-pro-5x,ChatGPT Pro 5x,630,,云猫寄售,ChatGPT PRO 5X iOS渠道,LLDCard,GPT666,10,650,https://catfk.com/item/lal0my
chatgpt-pro-5x,ChatGPT Pro 5x,640,,链动小铺,【质保30天】美区GPT 5X PRO 充值,Ai小牛马,39utmonb,20,685,https://pay.ldxp.cn/item/f2h879
chatgpt-pro-5x,ChatGPT Pro 5x,648,665,链动小铺,【质保30天】GPT PRO 5X 官方充值,AI开发商,gpt666,20,648,https://pay.ldxp.cn/item/17of1w
chatgpt-pro-5x,ChatGPT Pro 5x,650,,链动小铺,【官方充值】ChatGPT Pro 5X【质保一个月】原价100刀 人工代充,奥特曼丨ChatGPT,18,98,750,https://pay.ldxp.cn/item/e976ep
chatgpt-pro-5x,ChatGPT Pro 5x,650,,链动小铺,【质保30天订阅】GPT Pro 5x 月卡【安卓ios通用】【官方代充】,aihome,ihrobs8r,1,650,https://pay.ldxp.cn/item/1yi18p
chatgpt-pro-5x,ChatGPT Pro 5x,650,,链动小铺,【质保订阅】美区IOS GPT Pro5x 1个月,Ai小伙计,Jony,18,690,https://pay.ldxp.cn/item/1b5uyg
chatgpt-pro-5x,ChatGPT Pro 5x,650,,链动小铺,1个月 PRO X5会员 ios订阅（有苹果账单）上主页无手续费卡网购买（质保订阅）,AI小店,0000001,1,660,https://pay.ldxp.cn/item/hhljmj
chatgpt-pro-5x,ChatGPT Pro 5x,650,700,链动小铺,ChatGPT PRO 5X iOS渠道，可覆盖,AI小铺,mbflnxew,9,700,https://pay.ldxp.cn/item/kb7os2
chatgpt-pro-5x,ChatGPT Pro 5x,650,680,链动小铺,GPT Pro 5x美区iOS官方直充月卡100刀，质保，可开发票，可覆盖,即刻智联AI,ok1,54,745,https://pay.ldxp.cn/item/7xo82l
chatgpt-pro-5x,ChatGPT Pro 5x,650,690,云猫寄售,GPT Pro 5x美区iOS官方直充月卡100刀，质保，可开发票，可覆盖,即刻智联AI（招代理）,ok1,65,650,https://catfk.com/item/m0c91c
chatgpt-pro-5x,ChatGPT Pro 5x,650,,云猫寄售,GPT Pro5x 正规卡充【带账单】,AI奥特曼【源头招代理】,99999,48,650,https://catfk.com/item/1o1ylo
chatgpt-pro-5x,ChatGPT Pro 5x,660,,链动小铺,【质保】GPT 5X PRO ios充值【安卓/其他地区皆可充】（可覆盖可续费）,AI gogo渠道 （招代理）,gogo,88,680,https://pay.ldxp.cn/item/blcgp3
chatgpt-pro-5x,ChatGPT Pro 5x,660,660,链动小铺,GPT PRO 5x 1个月充值【IOS官方｜美区｜质保掉订阅】,痞老板-AI供货平台,pibossai,267,660,https://pay.ldxp.cn/item/bzjvhn
chatgpt-pro-5x,ChatGPT Pro 5x,660,660,云猫寄售,【支持开发票】GPT Pro 5x 正规官方充值,AGI（AI源头批发中心）,agi,7,660,https://catfk.com/item/53mr5t
chatgpt-pro-5x,ChatGPT Pro 5x,680,690,链动小铺,「iOS美区正规直充」ChatGPT PRO 5x 充值 ｜ 100美元,Tora-雪诺AI源头分销小铺,layerneko,988,699.9,https://pay.ldxp.cn/item/cybuz5
chatgpt-pro-5x,ChatGPT Pro 5x,680,730,链动小铺,ChatGPTpro5x（质保一月）,胡小阳的AI店铺（招代理）,XiaoyangAI,9,730,https://pay.ldxp.cn/item/hilyk3
chatgpt-pro-5x,ChatGPT Pro 5x,680,700,链动小铺,GPT 5X PRO 充值卡密(iOS质保),AI-小站,xkul0mfd,16,730,https://pay.ldxp.cn/item/4v7hfe
chatgpt-pro-5x,ChatGPT Pro 5x,680,700,链动小铺,GPT PLUS埃及正版卡充PRO 5X,海飞丝 GPT卡充唯一源头 PLUS/PRO【招代理】一件代发,haifs91,11,700,https://pay.ldxp.cn/item/xqdmp3
chatgpt-pro-5x,ChatGPT Pro 5x,680,,链动小铺,GPT Pro 5x【菲区】【质保订阅30天】【人工代充】,白菜的ai小铺🥬,BaicaiAI798,1,680,https://pay.ldxp.cn/item/dmk4rb
chatgpt-pro-5x,ChatGPT Pro 5x,680,680,链动小铺,gpt pro 5x直充月卡（ios充值，质保不掉订阅版）,咕咕Ai源头号商（招实力代理）,gugu,1,680,https://pay.ldxp.cn/item/yig549
chatgpt-pro-5x,ChatGPT Pro 5x,680,,链动小铺,GPT Pro5x 正规卡充【带账单】,AI奥特曼【源头招代理】,aoteman001,43,790,https://pay.ldxp.cn/item/10wuem
chatgpt-plus,ChatGPT Plus 试用订阅,680,680,链动小铺,gpt x20 cdk充值，有账单,JieAiTop,JieAiTop,39,680,https://pay.ldxp.cn/item/hr7360
chatgpt-pro-5x,ChatGPT Pro 5x,690,700,链动小铺,【埃及正规卡付】ChatGPT Pro 100美刀 5x 月卡（雪诺自营）,Tora-雪诺AI源头分销小铺,layerneko,996,719.9,https://pay.ldxp.cn/item/u0muw8
chatgpt-pro-5x,ChatGPT Pro 5x,690,700,链动小铺,【菲区】卡充 GPT 5x Pro CDK 官网正规充值 一卡一绑 支持续费,王哈哈Ai-Plus Pro源头直供【招代理】,ai985,2,690,https://pay.ldxp.cn/item/7aucoi
chatgpt-pro-5x,ChatGPT Pro 5x,690,690,链动小铺,【官方代充】GPT Pro 100刀 5x 1-5分钟到账,炒鸡变黑的AI店（CDK 代充 PRO，Plus龟头卷价版）,chaoji,7,695,https://pay.ldxp.cn/item/h2i681
chatgpt-pro-5x,ChatGPT Pro 5x,690,690,链动小铺,【官方代充】GPT Pro 5x 100刀 月卡（源头代充）,以安AI源头店（源头ChatGPT卡冲无限库存版）,yian,89,710,https://pay.ldxp.cn/item/olq50e
chatgpt-pro-5x,ChatGPT Pro 5x,690,,链动小铺,正规GPT Pro直充【5X-100刀款】 月卡套餐 全程质保订阅，同步官方退款政策,海神- GPT-大玩家（招代理）,aov0x17n,49,720,https://pay.ldxp.cn/item/clqdy9
chatgpt-pro-5x,ChatGPT Pro 5x,690,660,链动小铺,GPT 5x 月卡 PRO （官方直冲）,泡泡鲸的小店,gkluic1f,27,700,https://pay.ldxp.cn/item/sh3cvl
chatgpt-pro-5x,ChatGPT Pro 5x,690,690,链动小铺,GPT PRO 5x 1个月充值【官方代充｜埃区｜埃及区｜卡充｜质保掉订阅】,痞老板-AI供货平台,pibossai,96,690,https://pay.ldxp.cn/item/w4mj1z
chatgpt-pro-5x,ChatGPT Pro 5x,690,690,链动小铺,GPT Pro 5X 官方卡充 CDK（极速到账 / 官方正规流水）可Plus升级,Ludan AI商店【GPT源头直供/招代理】,ludan,19,690,https://pay.ldxp.cn/item/nk1ryj
chatgpt-pro-5x,ChatGPT Pro 5x,699,,链动小铺,GPT Pro 5X 【保订阅~官方卡冲】支持续费 【请仔细阅读介绍后再下单】,与世隔绝的AI小店,luoerl2,44,709,https://pay.ldxp.cn/item/epi2if
chatgpt-pro-5x,ChatGPT Pro 5x,699,,链动小铺,Pro 5X 埃及区直充（官网正价充值）,舒心的小铺,shuxin79,79,720,https://pay.ldxp.cn/item/fm6m1d
chatgpt-pro-5x,ChatGPT Pro 5x,700,700,链动小铺,【手工充值】GPT Pro 5x 官方直充月卡（质保掉订阅）,52AI店铺,52AI,50,690,https://pay.ldxp.cn/item/t83qag
chatgpt-pro-5x,ChatGPT Pro 5x,700,,链动小铺,【正规代充】 GPT PRO 5X,GPT源头商家,y3pmy2ee,1,700,https://pay.ldxp.cn/item/n79ixk
chatgpt-pro-5x,ChatGPT Pro 5x,700,700,链动小铺,【质保30天】GPT Pro 5x 1个月【官方代充】【正规卡冲】,AI gogo渠道 （招代理）,gogo,48,730,https://pay.ldxp.cn/item/tgnm23
chatgpt-pro-5x,ChatGPT Pro 5x,700,,链动小铺,美区、菲区ChatGPT PRO 5x 直冲,张啊三,7w3ssrwk,29,750,https://pay.ldxp.cn/item/jp89py
chatgpt-pro-5x,ChatGPT Pro 5x,700,700,云猫寄售,GPT PRO 5X 官方卡冲1个月～支持续费,66hk ai（gptpro/Claude卡付成本价）,pro,48,700,https://catfk.com/item/atgq5t
chatgpt-pro-5x,ChatGPT Pro 5x,710,710,链动小铺,「GPT 官方Pro 5x正价直充」,China-Nb,china-nb,48,720,https://pay.ldxp.cn/item/hlrxd2
chatgpt-pro-5x,ChatGPT Pro 5x,710,,链动小铺,GPT Pro 5x 菲区正版直冲 需要请私聊客服,极智AI(拍之前请看说明),7trufcy3,6,750,https://pay.ldxp.cn/item/e5m0np
chatgpt-pro-5x,ChatGPT Pro 5x,710,710,链动小铺,GPTproX5官网直充（人工充值）,阿泽AI站（源头直供）,aze,25,710,https://pay.ldxp.cn/item/s7w5xw
chatgpt-pro-5x,ChatGPT Pro 5x,719,,链动小铺,ChatGPT 5×pro 一个月（土区）,AI_Jolly,vosc82iq,3,749,https://pay.ldxp.cn/item/y7mj7q
chatgpt-pro-5x,ChatGPT Pro 5x,720,,链动小铺,【官方充值】ChatGPT Pro 5X【质保一个月】原价100刀 人工代充,"熊猫丨货源 GPT,gimini,专业速冲，招代理",19,100,750,https://pay.ldxp.cn/item/vqeq15
chatgpt-pro-5x,ChatGPT Pro 5x,720,,链动小铺,【官方充值】ChatGPT Pro 5X【质保一个月】原价100刀 人工代充,Gemini丨Telegram,66,56,720,https://pay.ldxp.cn/item/fysput
chatgpt-pro-5x,ChatGPT Pro 5x,720,,链动小铺,【官方充值】ChatGPT Pro 5X【质保一个月】原价100刀 人工代充,Gemini丨Telegram,Pro,54,720,https://pay.ldxp.cn/item/paiiz4
chatgpt-pro-5x,ChatGPT Pro 5x,720,,链动小铺,【官方充值】ChatGPT Pro 5X【质保一个月】原价100刀 人工代充,卡卡丨货源,kaka,83,720,https://pay.ldxp.cn/item/qxino3
chatgpt-pro-5x,ChatGPT Pro 5x,720,,链动小铺,Chatgpt PRO x5 一卡一充 代开一个月,gpt源头代充,cheche,11,720,https://pay.ldxp.cn/item/whu9m4
chatgpt-pro-5x,ChatGPT Pro 5x,729,729,链动小铺,gpt PROx5官网充值（升级人工充值）,阿北AI会员,abei,10,730,https://pay.ldxp.cn/item/7grrep
chatgpt-pro-5x,ChatGPT Pro 5x,730,730,链动小铺,ChatGPT Pro 5x官方代冲（勿拍，私聊人工操作）,云洲-AI源头,yunzhouai,8,780,https://pay.ldxp.cn/item/v0vt24
chatgpt-pro-5x,ChatGPT Pro 5x,730,,链动小铺,ChatGPT Pro5x月卡 质保不掉订阅 可开发票 IOS渠道,青蛙AI·低价源头,qingwaAA,24,740,https://pay.ldxp.cn/item/rhejps
chatgpt-pro-5x,ChatGPT Pro 5x,750,,链动小铺,【质保30天】GPT PRO 5X 正规官方直充【请仔细阅读商品介绍后再进行下单】,大耳朵图图ai批发站（渠道直供商）,hututu,24,780,https://pay.ldxp.cn/item/wvk927
chatgpt-pro-5x,ChatGPT Pro 5x,750,,链动小铺,GPT PRO 5X 官方卡冲1个月～支持续费,Chatgpt（源头）,27j1xz3p,16,750,https://pay.ldxp.cn/item/audbm5
chatgpt-pro-5x,ChatGPT Pro 5x,750,660,云猫寄售,ChatGPT Pro 5x 月卡 正规官方直充官方直充到个人账号 【质保30天不掉订阅 】可开发票,gpt/gemini代充/成品（招代理）,736661915,952,780,https://catfk.com/item/pgd2ke
chatgpt-pro-5x,ChatGPT Pro 5x,760,730,链动小铺,【质保实付】源头直充-gpt pro5x 官方实付，质保一个月，提供付款信息,阿百gpt小铺,kyozdkxv,12,760,https://pay.ldxp.cn/item/czkh67
chatgpt-pro-5x,ChatGPT Pro 5x,780,,链动小铺,PRO100刀有质保5X 【正规充值】可以续费 客服转账免手续费,PYAPI,607x6kco,1,780,https://pay.ldxp.cn/item/kwg9wy
chatgpt-pro-5x,ChatGPT Pro 5x,799,,链动小铺,GPT pro 代充5x【质保30天】,claude源头价招代理对接码-5hrcmi7e,5hrcmi7e,27,799,https://pay.ldxp.cn/item/tjqaxb
chatgpt-pro-20x,ChatGPT Pro 20x,800,510,链动小铺,【质保3天 x 黑充卡付渠道】GPT Pro 200刀 20x 3天质保成品号,Tora-雪诺AI源头分销小铺,layerneko,19,689,https://pay.ldxp.cn/item/qs8gp0
chatgpt-team-business,ChatGPT Team / Business,800,,链动小铺,正规官方gpt business（team） 2席位母号带质保 48个月优惠 可开通自己账号,海神- GPT-大玩家（招代理）,aov0x17n,37,850,https://pay.ldxp.cn/item/uyjn70
chatgpt-pro-20x,ChatGPT Pro 20x,1080,,链动小铺,【菲区】代充 GPT 20x Pro 官网正规充值 一卡一绑 支持续费,AI源头杂货铺子,GPT777,4,1080,https://pay.ldxp.cn/item/pphxkf
chatgpt-pro-20x,ChatGPT Pro 20x,1080,,链动小铺,【菲区】代充 GPT 20x Pro 官网正规充值 一卡一绑 支持续费,AI批发部【源头直供 招代理 全程质保】,GPT888,19,1080,https://pay.ldxp.cn/item/verxkp
chatgpt-pro-20x,ChatGPT Pro 20x,1080,,链动小铺,【质保30天】GPT pro20x 订阅 官方充值 免排队 秒充(5-10分钟到账),GPT源头直出,335533,13,1250,https://pay.ldxp.cn/item/wfchk4
chatgpt-pro-20x,ChatGPT Pro 20x,1080,,链动小铺,GPT pro20x 订阅 官方充值 免排队 秒充(5-10分钟到账),GPT，claude源头,889966,8,1250,https://pay.ldxp.cn/item/zazy2m
chatgpt-pro-20x,ChatGPT Pro 20x,1080,,云猫寄售,【菲区】代充 GPT 20x Pro 官网正规充值 一卡一绑 支持续费,AI源头杂货铺,GPT777,3,1080,https://catfk.com/item/goods_09b68a1a5644acf24d799f8b
